seed,ratio,RL,Random,Rule,Lift
42,0.050000,0.490000,0.173800,0.218000,2.819333
42,0.100000,0.417500,0.173000,0.200500,2.413295
42,0.200000,0.327000,0.174100,0.201750,1.878231
42,0.300000,0.289333,0.173183,0.189167,1.670677
42,0.500000,0.253600,0.171450,0.181000,1.479148
42,1.000000,0.172800,0.172800,0.172800,1.000000
123,0.050000,0.478000,0.172900,0.179000,2.764604
123,0.100000,0.418000,0.169650,0.190000,2.463896
123,0.200000,0.325000,0.172125,0.191250,1.888163
123,0.300000,0.281833,0.173717,0.181667,1.622374
123,0.500000,0.255000,0.173120,0.175000,1.472967
123,1.000000,0.172700,0.172700,0.172700,1.000000
456,0.050000,0.500000,0.169000,0.210000,2.958580
456,0.100000,0.421500,0.170500,0.197000,2.472141
456,0.200000,0.328000,0.169875,0.194000,1.930831
456,0.300000,0.283167,0.168950,0.188000,1.676038
456,0.500000,0.249900,0.170750,0.177200,1.463543
456,1.000000,0.170750,0.170750,0.170750,1.000000
789,0.050000,0.544000,0.180800,0.218000,3.008850
789,0.100000,0.467000,0.177950,0.215000,2.624333
789,0.200000,0.346750,0.176550,0.200750,1.964033
789,0.300000,0.295000,0.178517,0.188833,1.652507
789,0.500000,0.260000,0.178130,0.177900,1.459608
789,1.000000,0.178400,0.178400,0.178400,1.000000
999,0.050000,0.534000,0.177300,0.213000,3.011844
999,0.100000,0.456500,0.179750,0.209500,2.539638
999,0.200000,0.336750,0.177075,0.207250,1.901737
999,0.300000,0.292167,0.179117,0.193500,1.631153
999,0.500000,0.256400,0.176880,0.184600,1.449570
999,1.000000,0.177950,0.177950,0.177950,1.000000
